#ID	x0	y0		x1	y1
0	92 38 		70 0 
1	70 0 		57 23 
2	92 38 		57 23 
3	92 38 		92 -38 
4	70 0 		92 -38 
5	35 -14 		0 0 
6	0 0 		57 23 
7	35 -14 		57 23 
8	70 0 		35 -14 
9	35 -14 		92 -38 
10	92 38 		49 49 
11	49 49 		57 23 
12	92 38 		38 92 
13	49 49 		38 92 
14	14 35 		0 0 
15	14 35 		57 23 
16	49 49 		14 35 
17	14 35 		38 92 
18	-38 92 		0 70 
19	0 70 		-23 57 
20	-38 92 		-23 57 
21	-38 92 		38 92 
22	0 70 		38 92 
23	0 0 		-23 57 
24	14 35 		-23 57 
25	0 70 		14 35 
26	-38 92 		-49 49 
27	-49 49 		-23 57 
28	-38 92 		-92 38 
29	-49 49 		-92 38 
30	-35 14 		0 0 
31	-35 14 		-23 57 
32	-49 49 		-35 14 
33	-35 14 		-92 38 
34	-92 -38 		-70 0 
35	-70 0 		-57 -23 
36	-92 -38 		-57 -23 
37	-92 -38 		-92 38 
38	-70 0 		-92 38 
39	0 0 		-57 -23 
40	-35 14 		-57 -23 
41	-70 0 		-35 14 
42	-92 -38 		-49 -49 
43	-49 -49 		-57 -23 
44	-92 -38 		-38 -92 
45	-49 -49 		-38 -92 
46	-14 -35 		0 0 
47	-14 -35 		-57 -23 
48	-49 -49 		-14 -35 
49	-14 -35 		-38 -92 
50	38 -92 		0 -70 
51	0 -70 		23 -57 
52	38 -92 		23 -57 
53	38 -92 		-38 -92 
54	0 -70 		-38 -92 
55	0 0 		23 -57 
56	-14 -35 		23 -57 
57	0 -70 		-14 -35 
58	38 -92 		49 -49 
59	49 -49 		23 -57 
60	38 -92 		92 -38 
61	49 -49 		92 -38 
62	35 -14 		23 -57 
63	49 -49 		35 -14 
