#ID	x0	y0		x1	y1
0	58 19 		81 11 
1	81 11 		72 0 
2	58 19 		72 0 
3	58 19 		95 30 
4	81 11 		95 30 
5	95 -7 		95 -30 
6	95 -30 		72 0 
7	95 -7 		72 0 
8	81 11 		95 -7 
9	95 -7 		95 30 
10	36 11 		58 19 
11	58 19 		36 -11 
12	36 11 		36 -11 
13	22 -7 		36 11 
14	36 11 		0 0 
15	22 -7 		0 0 
16	22 -7 		36 -11 
17	72 -23 		95 -30 
18	72 -23 		72 0 
19	58 -4 		72 -23 
20	72 -23 		36 -11 
21	58 -4 		36 -11 
22	58 -4 		72 0 
23	58 19 		58 -4 
24	58 19 		72 38 
25	72 38 		58 42 
26	58 19 		58 42 
27	72 38 		95 30 
28	72 61 		58 80 
29	58 80 		58 42 
30	72 61 		58 42 
31	72 38 		72 61 
32	72 61 		95 30 
33	58 19 		22 30 
34	36 11 		22 30 
35	13 19 		36 11 
36	13 19 		0 0 
37	13 19 		22 30 
38	44 61 		58 80 
39	44 61 		58 42 
40	44 38 		44 61 
41	44 61 		22 30 
42	44 38 		22 30 
43	44 38 		58 42 
44	58 19 		44 38 
45	0 61 		13 80 
46	13 80 		22 69 
47	0 61 		22 69 
48	0 61 		0 100 
49	13 80 		0 100 
50	36 88 		58 80 
51	58 80 		22 69 
52	36 88 		22 69 
53	13 80 		36 88 
54	36 88 		0 100 
55	0 38 		0 61 
56	0 61 		22 30 
57	0 38 		22 30 
58	13 19 		0 38 
59	0 38 		0 0 
60	44 61 		22 69 
61	22 54 		44 61 
62	22 54 		22 30 
63	22 54 		22 69 
64	0 61 		22 54 
65	0 61 		-13 80 
66	-13 80 		-22 69 
67	0 61 		-22 69 
68	-13 80 		0 100 
69	-36 88 		-58 80 
70	-58 80 		-22 69 
71	-36 88 		-22 69 
72	-13 80 		-36 88 
73	-36 88 		0 100 
74	0 61 		-22 30 
75	0 38 		-22 30 
76	-13 19 		0 38 
77	-13 19 		0 0 
78	-13 19 		-22 30 
79	-44 61 		-58 80 
80	-44 61 		-22 69 
81	-22 54 		-44 61 
82	-44 61 		-22 30 
83	-22 54 		-22 30 
84	-22 54 		-22 69 
85	0 61 		-22 54 
86	-58 19 		-72 38 
87	-72 38 		-58 42 
88	-58 19 		-58 42 
89	-58 19 		-95 30 
90	-72 38 		-95 30 
91	-72 61 		-58 80 
92	-58 80 		-58 42 
93	-72 61 		-58 42 
94	-72 38 		-72 61 
95	-72 61 		-95 30 
96	-36 11 		-58 19 
97	-58 19 		-22 30 
98	-36 11 		-22 30 
99	-13 19 		-36 11 
100	-36 11 		0 0 
101	-44 61 		-58 42 
102	-44 38 		-44 61 
103	-44 38 		-22 30 
104	-44 38 		-58 42 
105	-58 19 		-44 38 
106	-58 19 		-81 11 
107	-81 11 		-72 0 
108	-58 19 		-72 0 
109	-81 11 		-95 30 
110	-95 -7 		-95 -30 
111	-95 -30 		-72 0 
112	-95 -7 		-72 0 
113	-81 11 		-95 -7 
114	-95 -7 		-95 30 
115	-58 19 		-36 -11 
116	-36 11 		-36 -11 
117	-22 -7 		-36 11 
118	-22 -7 		0 0 
119	-22 -7 		-36 -11 
120	-72 -23 		-95 -30 
121	-72 -23 		-72 0 
122	-58 -4 		-72 -23 
123	-72 -23 		-36 -11 
124	-58 -4 		-36 -11 
125	-58 -4 		-72 0 
126	-58 19 		-58 -4 
127	-36 -49 		-58 -57 
128	-58 -57 		-58 -42 
129	-36 -49 		-58 -42 
130	-36 -49 		-58 -80 
131	-58 -57 		-58 -80 
132	-81 -49 		-95 -30 
133	-95 -30 		-58 -42 
134	-81 -49 		-58 -42 
135	-58 -57 		-81 -49 
136	-81 -49 		-58 -80 
137	-22 -30 		-36 -49 
138	-36 -49 		-36 -11 
139	-22 -30 		-36 -11 
140	-22 -7 		-22 -30 
141	-22 -30 		0 0 
142	-72 -23 		-58 -42 
143	-50 -30 		-72 -23 
144	-50 -30 		-36 -11 
145	-50 -30 		-58 -42 
146	-36 -49 		-50 -30 
147	-36 -49 		-36 -73 
148	-36 -73 		-22 -69 
149	-36 -49 		-22 -69 
150	-36 -73 		-58 -80 
151	-22 -92 		0 -100 
152	0 -100 		-22 -69 
153	-22 -92 		-22 -69 
154	-36 -73 		-22 -92 
155	-22 -92 		-58 -80 
156	-36 -49 		0 -38 
157	-22 -30 		0 -38 
158	0 -23 		-22 -30 
159	0 -23 		0 0 
160	0 -23 		0 -38 
161	0 -76 		0 -100 
162	0 -76 		-22 -69 
163	-13 -57 		0 -76 
164	0 -76 		0 -38 
165	-13 -57 		0 -38 
166	-13 -57 		-22 -69 
167	-36 -49 		-13 -57 
168	36 -50 		36 -73 
169	36 -73 		22 -69 
170	36 -50 		22 -69 
171	36 -50 		58 -80 
172	36 -73 		58 -80 
173	22 -92 		0 -100 
174	0 -100 		22 -69 
175	22 -92 		22 -69 
176	36 -73 		22 -92 
177	22 -92 		58 -80 
178	22 -30 		36 -50 
179	36 -50 		0 -38 
180	22 -30 		0 -38 
181	0 -23 		22 -30 
182	22 -30 		0 0 
183	0 -76 		22 -69 
184	13 -57 		0 -76 
185	13 -57 		0 -38 
186	13 -57 		22 -69 
187	36 -50 		13 -57 
188	36 -50 		58 -57 
189	58 -57 		58 -42 
190	36 -50 		58 -42 
191	58 -57 		58 -80 
192	81 -50 		95 -30 
193	95 -30 		58 -42 
194	81 -50 		58 -42 
195	58 -57 		81 -50 
196	81 -50 		58 -80 
197	36 -50 		36 -11 
198	22 -30 		36 -11 
199	22 -7 		22 -30 
200	72 -23 		58 -42 
201	50 -30 		72 -23 
202	50 -30 		36 -11 
203	50 -30 		58 -42 
204	36 -50 		50 -30 
