#ID	x0	y0		x1	y1
0	50 -87 		100 0 
1	100 0 		50 87 
2	50 87 		-50 87 
3	-50 87 		-100 0 
4	-100 0 		-50 -87 
5	-50 -87 		50 -87 
6	50 -87 		137 -137 
7	137 -137 		187 -50 
8	187 -50 		100 0 
9	100 0 		187 50 
10	187 50 		137 137 
11	137 137 		50 87 
12	50 87 		50 187 
13	50 187 		-50 187 
14	-50 187 		-50 87 
15	-50 87 		-137 137 
16	-137 137 		-187 50 
17	-187 50 		-100 0 
18	-100 0 		-187 -50 
19	-187 -50 		-137 -137 
20	-137 -137 		-50 -87 
21	-50 -87 		-50 -187 
22	-50 -187 		50 -187 
23	50 -187 		50 -87 
24	50 -187 		137 -137 
25	187 -50 		187 50 
26	137 137 		50 187 
27	-50 187 		-137 137 
28	-187 50 		-187 -50 
29	-137 -137 		-50 -187 
30	137 -137 		187 -223 
31	187 -223 		287 -223 
32	287 -223 		337 -137 
33	337 -137 		287 -50 
34	287 -50 		187 -50 
35	187 50 		287 50 
36	287 50 		337 137 
37	337 137 		287 223 
38	287 223 		187 223 
39	187 223 		137 137 
40	50 187 		100 273 
41	100 273 		50 360 
42	50 360 		-50 360 
43	-50 360 		-100 273 
44	-100 273 		-50 187 
45	-137 137 		-187 223 
46	-187 223 		-287 223 
47	-287 223 		-337 137 
48	-337 137 		-287 50 
49	-287 50 		-187 50 
50	-187 -50 		-287 -50 
51	-287 -50 		-337 -137 
52	-337 -137 		-287 -223 
53	-287 -223 		-187 -223 
54	-187 -223 		-137 -137 
55	-50 -187 		-100 -273 
56	-100 -273 		-50 -360 
57	-50 -360 		50 -360 
58	50 -360 		100 -273 
59	100 -273 		50 -187 
60	100 -273 		187 -223 
61	187 -223 		187 -323 
62	187 -323 		287 -323 
63	287 -323 		287 -223 
64	287 -223 		373 -273 
65	373 -273 		423 -187 
66	423 -187 		337 -137 
67	337 -137 		423 -87 
68	423 -87 		373 0 
69	373 0 		287 -50 
70	287 -50 		287 50 
71	287 50 		373 0 
72	373 0 		423 87 
73	423 87 		337 137 
74	337 137 		423 187 
75	423 187 		373 273 
76	373 273 		287 223 
77	287 223 		287 323 
78	287 323 		187 323 
79	187 323 		187 223 
80	187 223 		100 273 
81	100 273 		187 323 
82	187 323 		137 410 
83	137 410 		50 360 
84	50 360 		50 460 
85	50 460 		-50 460 
86	-50 460 		-50 360 
87	-50 360 		-137 410 
88	-137 410 		-187 323 
89	-187 323 		-100 273 
90	-100 273 		-187 223 
91	-187 223 		-187 323 
92	-187 323 		-287 323 
93	-287 323 		-287 223 
94	-287 223 		-373 273 
95	-373 273 		-423 187 
96	-423 187 		-337 137 
97	-337 137 		-423 87 
98	-423 87 		-373 0 
99	-373 0 		-287 50 
100	-287 50 		-287 -50 
101	-287 -50 		-373 0 
102	-373 0 		-423 -87 
103	-423 -87 		-337 -137 
104	-337 -137 		-423 -187 
105	-423 -187 		-373 -273 
106	-373 -273 		-287 -223 
107	-287 -223 		-287 -323 
108	-287 -323 		-187 -323 
109	-187 -323 		-187 -223 
110	-187 -223 		-100 -273 
111	-100 -273 		-187 -323 
112	-187 -323 		-137 -410 
113	-137 -410 		-50 -360 
114	-50 -360 		-50 -460 
115	-50 -460 		50 -460 
116	50 -460 		50 -360 
117	50 -360 		137 -410 
118	137 -410 		187 -323 
119	187 -323 		100 -273 
120	287 -323 		373 -273 
121	423 -187 		423 -87 
122	423 87 		423 187 
123	373 273 		287 323 
124	137 410 		50 460 
125	-50 460 		-137 410 
126	-287 323 		-373 273 
127	-423 187 		-423 87 
128	-423 -87 		-423 -187 
129	-373 -273 		-287 -323 
130	-137 -410 		-50 -460 
131	50 -460 		137 -410 
132	137 -410 		187 -496 
133	187 -496 		287 -496 
134	287 -496 		337 -410 
135	337 -410 		287 -323 
136	373 -273 		423 -360 
137	423 -360 		523 -360 
138	523 -360 		573 -273 
139	573 -273 		523 -187 
140	523 -187 		423 -187 
141	423 -87 		523 -87 
142	523 -87 		573 0 
143	573 0 		523 87 
144	523 87 		423 87 
145	423 187 		523 187 
146	523 187 		573 273 
147	573 273 		523 360 
148	523 360 		423 360 
149	423 360 		373 273 
150	287 323 		337 410 
151	337 410 		287 496 
152	287 496 		187 496 
153	187 496 		137 410 
154	50 460 		100 546 
155	100 546 		50 633 
156	50 633 		-50 633 
157	-50 633 		-100 546 
158	-100 546 		-50 460 
159	-137 410 		-187 496 
160	-187 496 		-287 496 
161	-287 496 		-337 410 
162	-337 410 		-287 323 
163	-373 273 		-423 360 
164	-423 360 		-523 360 
165	-523 360 		-573 273 
166	-573 273 		-523 187 
167	-523 187 		-423 187 
168	-423 87 		-523 87 
169	-523 87 		-573 0 
170	-573 0 		-523 -87 
171	-523 -87 		-423 -87 
172	-423 -187 		-523 -187 
173	-523 -187 		-573 -273 
174	-573 -273 		-523 -360 
175	-523 -360 		-423 -360 
176	-423 -360 		-373 -273 
177	-287 -323 		-337 -410 
178	-337 -410 		-287 -496 
179	-287 -496 		-187 -496 
180	-187 -496 		-137 -410 
181	-50 -460 		-100 -546 
182	-100 -546 		-50 -633 
183	-50 -633 		50 -633 
184	50 -633 		100 -546 
185	100 -546 		50 -460 
