#ID	#Sides	:	Edge IDs	:	Shape	:	Tally
0	6	:	[0, 1, 2, 3, 4, 5]	:	((50, -87), (100, 0), (50, 87), (-50, 87), (-100, 0), (-50, -87), (50, -87))	:	3
1	4	:	[0, 6, 7, 8]	:	((100, 0), (50, -87), (137, -137), (187, -50), (100, 0))	:	2
2	4	:	[1, 9, 10, 11]	:	((50, 87), (100, 0), (187, 50), (137, 137), (50, 87))	:	1
3	4	:	[2, 12, 13, 14]	:	((-50, 87), (50, 87), (50, 187), (-50, 187), (-50, 87))	:	2
4	4	:	[3, 15, 16, 17]	:	((-100, 0), (-50, 87), (-137, 137), (-187, 50), (-100, 0))	:	2
5	4	:	[4, 18, 19, 20]	:	((-50, -87), (-100, 0), (-187, -50), (-137, -137), (-50, -87))	:	3
6	4	:	[5, 21, 22, 23]	:	((50, -87), (-50, -87), (-50, -187), (50, -187), (50, -87))	:	2
7	3	:	[6, 23, 24]	:	((137, -137), (50, -87), (50, -187), (137, -137))	:	1
8	3	:	[9, 8, 25]	:	((187, 50), (100, 0), (187, -50), (187, 50))	:	1
9	3	:	[12, 11, 26]	:	((50, 187), (50, 87), (137, 137), (50, 187))	:	1
10	3	:	[15, 14, 27]	:	((-137, 137), (-50, 87), (-50, 187), (-137, 137))	:	1
11	3	:	[18, 17, 28]	:	((-187, -50), (-100, 0), (-187, 50), (-187, -50))	:	1
12	3	:	[21, 20, 29]	:	((-50, -187), (-50, -87), (-137, -137), (-50, -187))	:	1
13	6	:	[7, 30, 31, 32, 33, 34]	:	((187, -50), (137, -137), (187, -223), (287, -223), (337, -137), (287, -50), (187, -50))	:	4
14	6	:	[10, 35, 36, 37, 38, 39]	:	((137, 137), (187, 50), (287, 50), (337, 137), (287, 223), (187, 223), (137, 137))	:	1
15	6	:	[13, 40, 41, 42, 43, 44]	:	((-50, 187), (50, 187), (100, 273), (50, 360), (-50, 360), (-100, 273), (-50, 187))	:	2
16	6	:	[16, 45, 46, 47, 48, 49]	:	((-187, 50), (-137, 137), (-187, 223), (-287, 223), (-337, 137), (-287, 50), (-187, 50))	:	1
17	6	:	[19, 50, 51, 52, 53, 54]	:	((-137, -137), (-187, -50), (-287, -50), (-337, -137), (-287, -223), (-187, -223), (-137, -137))	:	2
18	6	:	[22, 55, 56, 57, 58, 59]	:	((50, -187), (-50, -187), (-100, -273), (-50, -360), (50, -360), (100, -273), (50, -187))	:	1
19	4	:	[30, 24, 59, 60]	:	((187, -223), (137, -137), (50, -187), (100, -273), (187, -223))	:	2
20	4	:	[31, 61, 62, 63]	:	((287, -223), (187, -223), (187, -323), (287, -323), (287, -223))	:	2
21	4	:	[32, 64, 65, 66]	:	((337, -137), (287, -223), (373, -273), (423, -187), (337, -137))	:	2
22	4	:	[33, 67, 68, 69]	:	((287, -50), (337, -137), (423, -87), (373, 0), (287, -50))	:	2
23	4	:	[35, 25, 34, 70]	:	((287, 50), (187, 50), (187, -50), (287, -50), (287, 50))	:	1
24	4	:	[36, 71, 72, 73]	:	((337, 137), (287, 50), (373, 0), (423, 87), (337, 137))	:	1
25	4	:	[37, 74, 75, 76]	:	((287, 223), (337, 137), (423, 187), (373, 273), (287, 223))	:	1
26	4	:	[38, 77, 78, 79]	:	((187, 223), (287, 223), (287, 323), (187, 323), (187, 223))	:	3
27	4	:	[40, 26, 39, 80]	:	((100, 273), (50, 187), (137, 137), (187, 223), (100, 273))	:	0
28	4	:	[41, 81, 82, 83]	:	((50, 360), (100, 273), (187, 323), (137, 410), (50, 360))	:	0
29	4	:	[42, 84, 85, 86]	:	((-50, 360), (50, 360), (50, 460), (-50, 460), (-50, 360))	:	0
30	4	:	[43, 87, 88, 89]	:	((-100, 273), (-50, 360), (-137, 410), (-187, 323), (-100, 273))	:	0
31	4	:	[45, 27, 44, 90]	:	((-187, 223), (-137, 137), (-50, 187), (-100, 273), (-187, 223))	:	3
32	4	:	[46, 91, 92, 93]	:	((-287, 223), (-187, 223), (-187, 323), (-287, 323), (-287, 223))	:	0
33	4	:	[47, 94, 95, 96]	:	((-337, 137), (-287, 223), (-373, 273), (-423, 187), (-337, 137))	:	0
34	4	:	[48, 97, 98, 99]	:	((-287, 50), (-337, 137), (-423, 87), (-373, 0), (-287, 50))	:	0
35	4	:	[50, 28, 49, 100]	:	((-287, -50), (-187, -50), (-187, 50), (-287, 50), (-287, -50))	:	0
36	4	:	[51, 101, 102, 103]	:	((-337, -137), (-287, -50), (-373, 0), (-423, -87), (-337, -137))	:	1
37	4	:	[52, 104, 105, 106]	:	((-287, -223), (-337, -137), (-423, -187), (-373, -273), (-287, -223))	:	2
38	4	:	[53, 107, 108, 109]	:	((-187, -223), (-287, -223), (-287, -323), (-187, -323), (-187, -223))	:	3
39	4	:	[55, 29, 54, 110]	:	((-100, -273), (-50, -187), (-137, -137), (-187, -223), (-100, -273))	:	0
40	4	:	[56, 111, 112, 113]	:	((-50, -360), (-100, -273), (-187, -323), (-137, -410), (-50, -360))	:	0
41	4	:	[57, 114, 115, 116]	:	((50, -360), (-50, -360), (-50, -460), (50, -460), (50, -360))	:	0
42	4	:	[58, 117, 118, 119]	:	((100, -273), (50, -360), (137, -410), (187, -323), (100, -273))	:	1
43	3	:	[60, 119, 61]	:	((187, -223), (100, -273), (187, -323), (187, -223))	:	1
44	3	:	[63, 120, 64]	:	((287, -223), (287, -323), (373, -273), (287, -223))	:	1
45	3	:	[66, 121, 67]	:	((337, -137), (423, -187), (423, -87), (337, -137))	:	1
46	3	:	[69, 71, 70]	:	((287, -50), (373, 0), (287, 50), (287, -50))	:	2
47	3	:	[73, 122, 74]	:	((337, 137), (423, 87), (423, 187), (337, 137))	:	1
48	3	:	[76, 123, 77]	:	((287, 223), (373, 273), (287, 323), (287, 223))	:	1
49	3	:	[79, 81, 80]	:	((187, 223), (187, 323), (100, 273), (187, 223))	:	1
50	3	:	[83, 124, 84]	:	((50, 360), (137, 410), (50, 460), (50, 360))	:	1
51	3	:	[86, 125, 87]	:	((-50, 360), (-50, 460), (-137, 410), (-50, 360))	:	1
52	3	:	[89, 91, 90]	:	((-100, 273), (-187, 323), (-187, 223), (-100, 273))	:	1
53	3	:	[93, 126, 94]	:	((-287, 223), (-287, 323), (-373, 273), (-287, 223))	:	1
54	3	:	[96, 127, 97]	:	((-337, 137), (-423, 187), (-423, 87), (-337, 137))	:	1
55	3	:	[99, 101, 100]	:	((-287, 50), (-373, 0), (-287, -50), (-287, 50))	:	0
56	3	:	[103, 128, 104]	:	((-337, -137), (-423, -87), (-423, -187), (-337, -137))	:	2
57	3	:	[106, 129, 107]	:	((-287, -223), (-373, -273), (-287, -323), (-287, -223))	:	1
58	3	:	[109, 111, 110]	:	((-187, -223), (-187, -323), (-100, -273), (-187, -223))	:	1
59	3	:	[113, 130, 114]	:	((-50, -360), (-137, -410), (-50, -460), (-50, -360))	:	1
60	3	:	[116, 131, 117]	:	((50, -360), (50, -460), (137, -410), (50, -360))	:	1
61	6	:	[62, 118, 132, 133, 134, 135]	:	((287, -323), (187, -323), (137, -410), (187, -496), (287, -496), (337, -410), (287, -323))	:	5
62	6	:	[65, 136, 137, 138, 139, 140]	:	((423, -187), (373, -273), (423, -360), (523, -360), (573, -273), (523, -187), (423, -187))	:	5
63	6	:	[68, 141, 142, 143, 144, 72]	:	((373, 0), (423, -87), (523, -87), (573, 0), (523, 87), (423, 87), (373, 0))	:	5
64	6	:	[75, 145, 146, 147, 148, 149]	:	((373, 273), (423, 187), (523, 187), (573, 273), (523, 360), (423, 360), (373, 273))	:	5
65	6	:	[78, 150, 151, 152, 153, 82]	:	((187, 323), (287, 323), (337, 410), (287, 496), (187, 496), (137, 410), (187, 323))	:	5
66	6	:	[85, 154, 155, 156, 157, 158]	:	((-50, 460), (50, 460), (100, 546), (50, 633), (-50, 633), (-100, 546), (-50, 460))	:	5
